artist,count
KIDS SEE GHOSTS Featuring Louis Prima,1
Iyaz,35
Chris Brown Featuring Benny Benassi,4
Fifth Harmony,44
Selena Gomez,165
Lauren Duski,3
Nicki Minaj Featuring Ariana Grande,11
T-Pain Featuring Joey Galaxy,7
Childish Gambino,91
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,10
Michael Jackson,6
A$AP Rocky Featuring Skepta,8
General Larry Platt,3
Gwen Stefani,20
The Weeknd Featuring Future,2
Burl Ives,9
Katy Perry Featuring Nicki Minaj,10
Playboi Carti Featuring Lil Uzi Vert,14
6ix9ine Featuring DJ SPINKING,5
Trippie Redd,11
Jay Z Kanye West Featuring Otis Redding,20
The Weeknd Featuring Lana Del Rey,4
Camila Cabello,57
"JAY-Z Featuring Damian ""Jr. Gong"" Marely",1
Carrie Underwood Featuring Ludacris,3
Young Money Featuring Gucci Mane,20
Bow Wow Featuring Lil Wayne,1
T-Pain Featuring Lil Wayne,2
Migos Featuring Gucci Mane,22
Migos Featuring 21 Savage,2
Ariana Grande Featuring Big Sean,10
Offset,4
Jay Sean Featuring Nicki Minaj,14
T.I. Featuring Lil Wayne,22
Eazy-E,2
Drake Featuring Sampha,2
Future & Young Thug Featuring Offset,4
Darlene Love,2
"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",2
Nicki Minaj Featuring Chris Brown,15
Zedd Featuring Hayley Williams,22
Metro Boomin Featuring Gunna,6
Kodak Black Featuring Lil Wayne,13
DJ Khaled Featuring Travis Scott & Post Malone,1
Taio Cruz Featuring Ludacris,29
Rihanna Featuring Britney Spears,26
Matt Nathanson Featuring Sugarland,1
Ellie Goulding,183
Thomas Rhett Featuring Maren Morris,20
Kodak Black Featuring XXXTENTACION,25
"2 Chainz, Drake & Quavo",2
Justin Bieber Featuring R. Kelly,1
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",25
Big Sean Featuring Drake,20
Nick Jonas & Nicki Minaj,1
Meek Mill Featuring Ella Mai,10
"Kanye West, Jay-Z, Big Sean",22
Rebecca Black & Dave Days,1
Sam Smith,141
BLACKPINK,5
Trippie Redd Featuring Juice WRLD,3
Charice Featuring Iyaz,2
Nicki Minaj Featuring Eminem,5
Sia,80
Emily Ann Roberts,1
Wiz Khalifa Featuring Travi$ Scott,2
The Chainsmokers & Coldplay,39
JAY-Z Featuring Gloria Carter,1
Young Jeezy Featuring Lil Wayne,5
Rihanna Featuring Mikky Ekko,32
Cardi B & YG,2
"Khalid, Ty Dolla $ign & 6LACK",18
Meek Mill,16
A Boogie Wit da Hoodie Featuring 6ix9ine,20
Khalid & Kane Brown,11
Sade,11
Hugh Laurie,2
Rick Ross Featuring Drake & French Montana,2
Tony Lucca,1
Phillip Phillips,79
Chris Brown Featuring Usher & Gucci Mane,20
Khalid With John Mayer,1
DaBaby,11
Calvin Harris,62
Timbaland Featuring Justin Timberlake,24
T-Pain Featuring Wiz Khalifa & Lily Allen,20
Natalie La Rose Featuring Jeremih,26
Far*East Movement Featuring Ryan Tedder,20
Travie McCoy Featuring Bruno Mars,27
Becky G,23
Blake Shelton Featuring Pistol Annies & Friends,21
Clean Bandit Featuring Jess Glynne,31
Gotye Featuring Kimbra,59
Big Sean Featuring Nicki Minaj,24
Jeremih Featuring YG,31
Mike Posner,86
Diddy - Dirty Money Featuring Skylar Grey,24
Ace Hood,16
Matisyahu,6
J Balvin,15
A Boogie Wit da Hoodie,43
Yo Gotti,6
Jay Z Featuring Rick Ross,9
Russ,27
Kristen Bell & Santino Fontana,4
Josh Turner,75
Travis Porter,16
Chris Lane,16
Ne-Yo,52
Eminem Featuring Lil Wayne,20
Ciara Featuring Nicki Minaj,5
YNW Melly Featuring Kanye West,18
Drake & Future,89
Lil Skies,8
Scotty McCreery,102
Flipp Dinero,25
Andy Grammer,89
Reba,36
Skrillex Featuring Sirah,24
Ingrid Michaelson,20
XXXTentacion,36
Descendants 2 Cast,4
Loren Allred,4
Wale Featuring Sam Dew,8
"Artists Of Then, Now & Forever",4
Shakira,37
French Montana Featuring Nicki Minaj,7
Dennis Lloyd,4
"Machine Gun Kelly, X Ambassadors & Bebe Rexha",4
B.o.B Featuring Trey Songz,9
Brothers Osborne,36
Justin Bieber Featuring Jaden Smith,19
Lil Yachty Featuring NBA YoungBoy,4
Lifehouse,19
Steve Aoki & Louis Tomlinson,6
Breaking Benjamin,11
6ix9ine Featuring Nicki Minaj & Kanye West,4
Yo Gotti Featuring E-40,9
Lupe Fiasco Featuring Ed Sheeran,5
Calvin Harris Featuring Kehlani & Lil Yachty,4
Drake Featuring WizKid & Kyla,36
Lupe Fiasco Featuring Trey Songz,17
Kid Ink Featuring DeJ Loaf,20
Jaron And The Long Road To Love,20
George Ezra,23
Offset & Metro Boomin,31
Ace Hood Featuring Future & Rick Ross,20
Rob $tone Featuring J. Davi$ & Spooks,26
J. Cole Featuring TLC,20
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,51
"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",20
Afrojack Featuring Eva Simons,20
Dierks Bentley Featuring Brothers Osborne,17
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",19
Parmalee,38
Foster The People,69
Rodney Atkins,44
Keith Urban,257
Soulja Boy Tell'em,16
Jimmie Allen,20
KCamp Featuring 2 Chainz,20
A Thousand Horses,20
Bridgit Mendler,14
Gym Class Heroes Featuring Ryan Tedder,15
Christina Perri,79
The Wanted,55
Ciara Featuring Ludacris,20
Sara Evans,26
Nicole Scherzinger Featuring 50 Cent,12
Trey Songz Featuring T.I.,20
Robin Schulz Featuring Francesco Yates,15
Gloriana,24
Rascal Flatts,148
Young Thug,39
GoldLink Featuring Brent Faiyaz & Shy Glizzy,21
Brad Paisley,178
T.I. Featuring Young Thug,20
DLOW,15
DeJ Loaf Featuring Big Sean,18
Sia Featuring Sean Paul,52
Young Thug And Travis Scott Featuring Quavo,20
Nicki Minaj Featuring 2 Chainz,20
Jeremih Featuring J. Cole,20
Robin Thicke,20
Neon Trees,91
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",20
Clay Walker,18
Keith Urban Featuring Eric Church,14
Daya,51
